model,mae,mse,rmse,r2
random_forest,958.567478194631,2790035.6760235154,1670.339988153165,0.9217466631329341
decision_tree,1145.9044392704025,3936493.4377691173,1984.0598372451163,0.8895914666224701
gradient_boosting,1314.285625133567,4168238.639625474,2041.6264691724277,0.8830916087518216
linear_regression,1623.317890653712,6099088.13997042,2469.6331994793113,0.8289362380199867
ridge,1625.2071002562616,6116158.697113076,2473.08687617582,0.8284574527234142
