actual_price,predicted_price,error
13250,12635.75192063492,-614.2480793650793
5500,5618.6199259259265,118.61992592592651
10300,10799.069365079364,499.0693650793637
3000,3042.8654603174605,42.865460317460474
1600,820.0187962962963,-779.9812037037037
5200,5251.263428571429,51.26342857142936
28521,23349.929095238094,-5171.070904761906
18000,19186.883,1186.8830000000016
9300,10078.850534391535,778.8505343915349
6900,7587.503825396827,687.5038253968269
9500,8535.435386243387,-964.5646137566127
25000,21322.0639047619,-3677.9360952380994
2350,1583.667746031746,-766.332253968254
17900,23048.400656084654,5148.400656084654
13999,10364.902121693123,-3634.0978783068767
4000,4503.919242424242,503.91924242424193
6900,6386.99952044252,-513.0004795574796
25300,23026.976137566136,-2273.0238624338635
7200,8242.456417989419,1042.4564179894187
1100,804.7264153439153,-295.2735846560847
